
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_augment_symmetry_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Augment:      symmetry (random H/V flip)
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_augment_symmetry_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_augment_symmetry_s3/config.json

  step= 128,376  1 eps: Mayar:1L P1  ret=  54.00  len= 1031  WR[Coac=0%]
  step= 132,120  1 eps: Rando:1D P1  ret= 187.00  len= 4000  WR[Coac=0%]
  step= 132,840  1 eps: Mayar:1L P1  ret=  40.00  len=  914  WR[Coac=0%]
  step= 138,480  1 eps: POLig:1L P0  ret=  -1.80  len=  818  WR[Coac=0%]
  step= 138,888  1 eps: CoacA:1L P0  ret=  39.00  len=  931  WR[Coac=0%]
  step= 140,064  1 eps: Mayar:1L P1  ret=  60.40  len= 1054  WR[Coac=0%]
  step= 140,520  1 eps: CoacA:1L P0  ret=  38.20  len=  975  WR[Coac=0%]
  step= 141,024  1 eps: Mayar:1L P1  ret=  21.00  len=  879  WR[Coac=0% Maya=0%]
  step= 142,440  1 eps: CoacA:1L P0  ret=   9.20  len=  848  WR[Coac=0% Maya=0%]
  step= 142,632  1 eps: CoacA:1L P0  ret=  27.20  len=  867  WR[Coac=0% Maya=0%]
  step= 143,184  1 eps: CoacA:1L P0  ret=  38.00  len=  950  WR[Coac=0% Maya=0%]
  step= 143,208  1 eps: CoacA:1L P0  ret=   2.20  len=  791  WR[Coac=0% Maya=0%]
  step= 144,144  1 eps: POLig:1L P0  ret=  49.20  len=  935  WR[Coac=0% Maya=0%]
  step= 144,312  1 eps: Mayar:1L P0  ret=  37.20  len=  968  WR[Coac=0% Maya=0%]
  step= 144,384  1 eps: CoacA:1L P0  ret=  11.00  len=  905  WR[Coac=0% Maya=0%]
  step= 145,368  1 eps: CoacA:1L P0  ret=  -2.80  len=  806  WR[Coac=0% Maya=0%]
  step= 146,160  1 eps: Mayar:1L P1  ret=  18.00  len=  906  WR[Coac=0% Maya=0%]
  step= 146,472  1 eps: Mayar:1L P1  ret=  76.00  len= 1527  WR[Coac=0% Maya=0%]
  step= 147,720  1 eps: POWor:1L P0  ret=  59.00  len= 1090  WR[Coac=0% Maya=0%]
  step= 147,912  1 eps: Mayar:1L P1  ret=  39.20  len= 1060  WR[Coac=0% Maya=0%]
  step= 148,224  1 eps: Mayar:1L P0  ret=  -3.80  len=  827  WR[Coac=0% Maya=0%]
  step= 148,776  1 eps: CoacA:1L P0  ret=  17.00  len=  925  WR[Coac=0% Maya=0%]
  step= 150,000  1 eps: Mayar:1L P1  ret=  45.00  len= 1052  WR[Coac=0% Maya=0%]
  step= 150,120  1 eps: POWor:1L P0  ret=  39.00  len=  950  WR[Coac=0% Maya=0%]
  step= 153,480  1 eps: Rando:1L P1  ret=   6.20  len= 2395  WR[Coac=0% Maya=0%]
  step= 156,240  1 eps: Mayar:1L P0  ret=  24.00  len=  975  WR[Coac=0% Maya=0%]
  step= 156,912  1 eps: POLig:1L P1  ret=  43.20  len=  768  WR[Coac=0% Maya=0%]
  step= 159,072  1 eps: CoacA:1L P1  ret=  33.00  len=  841  WR[Coac=0% Maya=0%]
  step= 159,120  1 eps: Mayar:1L P0  ret=  -1.80  len=  794  WR[Coac=0% Maya=0%]
  step= 159,960  1 eps: CoacA:1L P1  ret=  -3.80  len=  730  WR[Coac=0% Maya=0%]
  step= 160,200  1 eps: POWor:1L P1  ret=  -2.80  len=  520  WR[Coac=0% Maya=0%]
  step= 161,256  1 eps: CoacA:1L P1  ret=   2.20  len=  776  WR[Coac=0% Maya=0%]
  step= 162,024  1 eps: POLig:1L P1  ret=  -2.80  len=  745  WR[Coac=0% Maya=0%]
  step= 162,336  1 eps: Mayar:1L P0  ret=  16.20  len=  888  WR[Coac=0% Maya=0%]
  step= 162,432  1 eps: CoacA:1L P1  ret=  23.00  len=  801  WR[Coac=0% Maya=0%]
  step= 162,744  1 eps: CoacA:1L P1  ret=  38.00  len=  815  WR[Coac=0% Maya=0%]
  step= 162,960  1 eps: CoacA:1L P1  ret=  36.00  len=  935  WR[Coac=0% Maya=0%]
  step= 163,104  1 eps: CoacA:1L P1  ret=  11.20  len=  780  WR[Coac=0% Maya=0%]
  step= 164,232  1 eps: CoacA:1L P1  ret=   5.20  len=  786  WR[Coac=0% Maya=0%]
  step= 169,608  1 eps: CoacA:1L P1  ret=  18.20  len=  868  WR[Coac=0% Maya=0%]
  step= 169,800  1 eps: Mayar:1L P0  ret=  22.00  len=  912  WR[Coac=0% Maya=0%]
  step= 171,312  1 eps: Mayar:1L P0  ret=  56.20  len= 1035  WR[Coac=0% Maya=0%]
  step= 171,552  1 eps: Mayar:1L P0  ret=  25.20  len=  898  WR[Coac=0% Maya=0%]
  step= 173,448  1 eps: Mayar:1L P1  ret=  65.20  len= 1214  WR[Coac=0% Maya=0%]
  step= 177,168  1 eps: Mayar:1L P1  ret=  72.20  len= 1206  WR[Coac=0% Maya=0%]
  step= 177,744  1 eps: POLig:1L P0  ret=   4.20  len=  868  WR[Coac=0% Maya=0%]
  step= 178,872  1 eps: Mayar:1L P0  ret=  72.00  len= 1363  WR[Coac=0% Maya=0%]
  step= 180,864  1 eps: CoacA:1L P0  ret=  14.00  len=  817  WR[Coac=0% Maya=0%]
  step= 181,248  1 eps: CoacA:1L P0  ret=  30.20  len=  924  WR[Coac=0% Maya=0%]
  step= 181,800  1 eps: POLig:1L P0  ret=  27.20  len=  824  WR[Coac=0% Maya=0%]
  step= 182,736  1 eps: Mayar:1L P1  ret=  13.20  len=  850  WR[Coac=0% Maya=0%]
  step= 183,168  1 eps: CoacA:1L P0  ret=  48.20  len=  967  WR[Coac=0% Maya=0%]
  step= 183,480  1 eps: Mayar:1L P1  ret=  47.20  len= 1015  WR[Coac=0% Maya=0%]
  step= 183,648  1 eps: CoacA:1L P0  ret=  30.20  len=  862  WR[Coac=0% Maya=0%]
  step= 183,984  2 eps: CoacA:2L P0  ret=   3.20  len=  891  WR[Coac=0% Maya=0%]
  step= 185,520  1 eps: Mayar:1L P1  ret=  35.20  len= 1220  WR[Coac=0% Maya=0%]
  step= 186,168  1 eps: CoacA:1L P0  ret=  35.20  len=  961  WR[Coac=0% Maya=0%]
  step= 189,216  1 eps: CoacA:1L P0  ret=  44.00  len= 1041  WR[Coac=0% Maya=0%]
  step= 190,680  1 eps: POWor:1L P0  ret=  84.60  len= 1270  WR[Coac=0% Maya=0%]
  step= 190,848  1 eps: Mayar:1L P1  ret=  17.20  len=  877  WR[Coac=0% Maya=0%]
  step= 193,992  1 eps: Mayar:1L P1  ret=  15.20  len=  945  WR[Coac=0% Maya=0%]
  step= 194,616  1 eps: CoacA:1L P0  ret=  55.20  len= 1042  WR[Coac=0% Maya=0%]
