
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_baseline_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_baseline_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_baseline_s3/config.json

  step=  89,664  1 eps: Mayar:1L P1  ret=   5.20  len=  732  WR[warming up...]
  step=  90,840  1 eps: POWor:1L P1  ret=  -4.80  len=  410  WR[warming up...]
  step=  90,984  1 eps: Mayar:1L P1  ret=  53.00  len= 1269  WR[warming up...]
  step=  92,688  1 eps: POLig:1L P0  ret=  60.00  len=  971  WR[warming up...]
  step=  94,968  1 eps: Mayar:1L P1  ret=  46.60  len=  889  WR[warming up...]
  step=  96,024  1 eps: Mayar:1L P1  ret=  48.00  len= 1013  WR[warming up...]
  step=  98,712  1 eps: Mayar:1L P1  ret=  52.00  len= 1117  WR[warming up...]
  step=  99,240  1 eps: POWor:1L P1  ret=  17.00  len=  575  WR[warming up...]
  step= 100,632  1 eps: Mayar:1L P1  ret=  44.00  len= 1082  WR[warming up...]
  step= 100,968  1 eps: CoacA:1L P0  ret=  31.20  len=  893  WR[warming up...]
  step= 100,992  1 eps: Mayar:1L P1  ret=  53.20  len= 1098  WR[warming up...]
  step= 101,520  1 eps: POLig:1L P0  ret=  -7.80  len=  661  WR[warming up...]
  step= 102,552  1 eps: CoacA:1L P0  ret=  22.20  len=  830  WR[warming up...]
  step= 102,960  1 eps: Mayar:1L P0  ret=  33.20  len=  874  WR[warming up...]
  step= 103,704  1 eps: CoacA:1L P0  ret=   9.20  len=  824  WR[warming up...]
  step= 104,328  1 eps: Mayar:1L P0  ret=  54.00  len=  999  WR[warming up...]
  step= 104,928  1 eps: CoacA:1L P0  ret=  37.00  len= 1022  WR[warming up...]
  step= 105,096  1 eps: CoacA:1L P0  ret=  41.20  len=  831  WR[warming up...]
  step= 105,264  1 eps: CoacA:1L P0  ret=   1.20  len=  766  WR[warming up...]
  step= 105,648  1 eps: CoacA:1L P0  ret=  48.00  len= 1024  WR[warming up...]
  step= 107,736  1 eps: CoacA:1L P0  ret=  43.60  len=  911  WR[warming up...]
  step= 108,240  1 eps: POWor:1L P0  ret=  33.00  len=  725  WR[warming up...]
  step= 108,912  1 eps: Mayar:1L P0  ret=  -3.80  len=  802  WR[warming up...]
  step= 109,776  1 eps: CoacA:1L P0  ret=  42.00  len=  932  WR[warming up...]
  step= 111,480  1 eps: POWor:1L P0  ret=   0.20  len=  510  WR[warming up...]
  step= 112,416  1 eps: POLig:1L P1  ret=  17.20  len=  822  WR[warming up...]
  step= 113,640  1 eps: Mayar:1L P0  ret=  43.20  len=  944  WR[warming up...]
  step= 114,912  1 eps: Rando:1W P1  ret= 115.00  len= 2107  WR[warming up...]
  step= 116,904  1 eps: Mayar:1L P0  ret=  40.20  len=  870  WR[warming up...]
  step= 118,488  1 eps: CoacA:1L P1  ret=   1.20  len=  730  WR[warming up...]
  step= 118,968  1 eps: Mayar:1L P0  ret=  -6.80  len=  764  WR[warming up...]
  step= 120,144  1 eps: Mayar:1L P0  ret=  46.60  len= 1049  WR[warming up...]
  step= 120,600  1 eps: POWor:1L P1  ret=   5.20  len=  515  WR[warming up...]
  step= 121,392  1 eps: Mayar:1L P1  ret=  -1.80  len=  768  WR[warming up...]
  step= 122,472  1 eps: CoacA:1L P1  ret=   8.20  len=  782  WR[warming up...]
  step= 122,520  1 eps: CoacA:1L P1  ret=  43.20  len=  832  WR[warming up...]
  step= 122,664  1 eps: Mayar:1L P1  ret=  -5.80  len=  764  WR[warming up...]
  step= 123,648  1 eps: CoacA:1L P1  ret=  26.00  len=  780  WR[warming up...]
  step= 123,864  1 eps: CoacA:1L P1  ret=  -2.80  len=  782  WR[Coac=0%]
  step= 124,464  1 eps: CoacA:1L P1  ret=  -1.00  len=  800  WR[Coac=0%]
  step= 125,304  1 eps: POLig:1L P1  ret=  35.00  len=  991  WR[Coac=0%]
  step= 125,688  1 eps: CoacA:1L P1  ret=  19.00  len=  835  WR[Coac=0%]
  step= 126,960  1 eps: POWor:1L P1  ret=  16.00  len=  645  WR[Coac=0%]
  step= 127,464  1 eps: CoacA:1L P1  ret=  29.00  len=  822  WR[Coac=0%]
  step= 130,200  1 eps: Mayar:1L P0  ret=  82.00  len= 1312  WR[Coac=0%]
  step= 130,296  1 eps: CoacA:1L P1  ret=  21.20  len=  855  WR[Coac=0%]
  step= 130,680  1 eps: Mayar:1L P0  ret=  67.00  len= 1237  WR[Coac=0%]
  step= 134,376  1 eps: Mayar:1L P1  ret=  12.20  len=  728  WR[Coac=0%]
  step= 134,784  1 eps: Mayar:1L P1  ret=  12.20  len=  881  WR[Coac=0%]
