
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_opponent_modeling_s1
  Seed:         1
  Architecture: unet_entity_cbam_deep (channels=48) (4,733,033 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Aux task:     opponent_modeling (coef=0.01)
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_opponent_modeling_s1
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_opponent_modeling_s1/config.json

  step= 233,112  1 eps: CoacA:1L  ret=  42.00  len=  902  WR[Coac=0% Maya=0%]
  step= 233,712  1 eps: Mayar:1L  ret= 102.20  len= 1785  WR[Coac=0% Maya=0%]
  step= 235,152  1 eps: CoacA:1L  ret=  61.20  len=  950  WR[Coac=0% Maya=0%]
  step= 235,656  1 eps: Mayar:1L  ret=  -5.80  len=  788  WR[Coac=0% Maya=0%]
  step= 237,144  1 eps: Mayar:1L  ret=  78.20  len= 1262  WR[Coac=0% Maya=0%]
  step= 237,264  1 eps: Mayar:1L  ret=  72.20  len= 1495  WR[Coac=0% Maya=0%]
  step= 239,616  1 eps: Mayar:1L  ret=  43.20  len= 1002  WR[Coac=0% Maya=0%]
  step= 243,696  1 eps: CoacA:1L  ret=  35.00  len=  800  WR[Coac=0% Maya=0%]
  step= 243,936  1 eps: CoacA:1L  ret=   3.20  len=  725  WR[Coac=0% Maya=0%]
  step= 244,200  1 eps: Mayar:1L  ret=  10.20  len=  862  WR[Coac=0% Maya=0%]
  step= 244,824  1 eps: CoacA:1L  ret=  36.00  len=  853  WR[Coac=0% Maya=0%]
  step= 246,216  1 eps: Mayar:1L  ret= 101.20  len= 1694  WR[Coac=0% Maya=0%]
  step= 247,848  1 eps: CoacA:1L  ret=  38.00  len=  830  WR[Coac=0% Maya=0%]
  step= 249,072  1 eps: Mayar:1L  ret=  21.20  len=  891  WR[Coac=0% Maya=0%]
  step= 249,960  1 eps: Mayar:1L  ret=  44.20  len= 1066  WR[Coac=0% Maya=0%]
  step= 250,344  1 eps: POLig:1L  ret=   9.20  len=  816  WR[Coac=0% Maya=0%]
  step= 250,440  1 eps: POWor:1L  ret=  72.00  len= 1060  WR[Coac=0% Maya=0%]
  step= 251,496  1 eps: CoacA:1L  ret=  20.20  len=  821  WR[Coac=0% Maya=0%]
  step= 251,568  1 eps: CoacA:1L  ret=  34.20  len=  791  WR[Coac=0% Maya=0%]
  step= 251,640  1 eps: CoacA:1L  ret=  31.00  len=  813  WR[Coac=0% Maya=0%]
