
============================================================
  PPO + impala_entity  —  MicroRTS
============================================================
  Exp name:     impala_entity_s3
  Seed:         3
  Architecture: impala_entity (1,371,311 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  100,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      8138
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/impala_entity_s3
  Eval every:   ~10.0M steps (813 updates)
  Eval bots:    RandomBiasedAI, WorkerRush, LightRush, CoacAI, Mayari (10 games each)
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/impala_entity_s3/config.json

  step= 135,840  1 eps: CoacA:1L P0  ret=  18.00  len=  790  WR[Coac=0% Maya=0%]
  step= 137,136  1 eps: CoacA:1L P0  ret=  -5.80  len=  817  WR[Coac=0% Maya=0%]
  step= 137,256  1 eps: CoacA:1L P0  ret=  11.20  len=  802  WR[Coac=0% Maya=0%]
  step= 137,400  1 eps: Mayar:1L P0  ret=  21.00  len=  917  WR[Coac=0% Maya=0%]
  step= 137,520  1 eps: Worke:1L P1  ret=  23.00  len=  990  WR[Coac=0% Maya=0%]
  step= 137,784  1 eps: CoacA:1L P0  ret=  20.00  len=  916  WR[Coac=0% Maya=0%]
  step= 138,360  1 eps: Mayar:1L P0  ret=   9.20  len=  751  WR[Coac=0% Maya=0%]
  step= 139,344  1 eps: CoacA:1L P0  ret=  14.00  len=  819  WR[Coac=0% Maya=0%]
  step= 139,440  1 eps: CoacA:1L P0  ret=  -0.80  len=  809  WR[Coac=0% Maya=0%]
  step= 140,400  1 eps: Worke:1L P0  ret=   1.20  len=  535  WR[Coac=0% Maya=0%]
  step= 142,488  1 eps: Mayar:1L P0  ret=  -0.80  len=  721  WR[Coac=0% Maya=0%]
  step= 142,872  1 eps: Mayar:1L P0  ret=  36.00  len= 1032  WR[Coac=0% Maya=0%]
  step= 146,640  1 eps: Mayar:1L P0  ret=  25.00  len= 1003  WR[Coac=0% Maya=0%]
  step= 147,600  1 eps: Light:1L P1  ret=  21.00  len=  830  WR[Coac=0% Maya=0%]
  step= 149,520  1 eps: Mayar:1L P0  ret=  36.00  len= 1213  WR[Coac=0% Maya=0%]
  step= 149,688  1 eps: CoacA:1L P1  ret=  17.00  len=  818  WR[Coac=0% Maya=0%]
  step= 151,368  1 eps: Mayar:1L P0  ret=  29.00  len=  969  WR[Coac=0% Maya=0%]
  step= 153,360  1 eps: CoacA:1L P1  ret=  18.00  len=  790  WR[Coac=0% Maya=0%]
  step= 153,504  2 eps: CoacA:1L P1 Light:1L P1  ret=   4.60  len=  765  WR[Coac=0% Maya=0%]
  step= 153,552  1 eps: CoacA:1L P1  ret=   1.00  len=  746  WR[Coac=0% Maya=0%]
  step= 153,720  1 eps: Worke:1L P1  ret=  10.00  len=  555  WR[Coac=0% Maya=0%]
  step= 154,248  1 eps: Mayar:1L P0  ret=  17.00  len=  935  WR[Coac=0% Maya=0%]
  step= 155,184  1 eps: Mayar:1L P0  ret=  32.00  len=  974  WR[Coac=0% Maya=0%]
  step= 155,880  1 eps: Worke:1L P0  ret=  25.00  len=  765  WR[Coac=0% Maya=0%]
  step= 156,168  1 eps: CoacA:1L P1  ret=  13.00  len=  793  WR[Coac=0% Maya=0%]
  step= 156,192  1 eps: CoacA:1L P1  ret=  -1.00  len=  767  WR[Coac=0% Maya=0%]
  step= 156,360  1 eps: CoacA:1L P1  ret=  14.00  len=  796  WR[Coac=0% Maya=0%]
  step= 157,512  1 eps: CoacA:1L P1  ret=  15.00  len=  757  WR[Coac=0% Maya=0%]
  step= 159,240  1 eps: Mayar:1L P1  ret=  16.00  len=  910  WR[Coac=0% Maya=0%]
  step= 160,080  1 eps: CoacA:1L P1  ret=  21.00  len=  860  WR[Coac=0% Maya=0%]
  step= 160,152  1 eps: Mayar:1L P1  ret=  -5.80  len=  720  WR[Coac=0% Maya=0%]
  step= 161,568  1 eps: Mayar:1L P1  ret=  -4.80  len=  795  WR[Coac=0% Maya=0%]
  step= 162,048  1 eps: Mayar:1L P1  ret=  20.00  len=  987  WR[Coac=0% Maya=0%]
  step= 164,088  1 eps: Mayar:1L P1  ret=  -4.80  len=  727  WR[Coac=0% Maya=0%]
  step= 165,840  1 eps: Worke:1L P1  ret=   2.00  len=  415  WR[Coac=0% Maya=0%]
  step= 166,080  1 eps: Worke:1L P0  ret=  -3.80  len=  515  WR[Coac=0% Maya=0%]
  step= 170,712  1 eps: Light:1L P0  ret=  27.00  len=  963  WR[Coac=0% Maya=0%]
  step= 171,816  1 eps: CoacA:1L P0  ret=  27.00  len=  922  WR[Coac=0% Maya=0%]
  step= 172,344  1 eps: Light:1L P0  ret=  25.00  len=  785  WR[Coac=0% Maya=0%]
  step= 172,848  1 eps: CoacA:1L P0  ret=  15.00  len=  806  WR[Coac=0% Maya=0%]
  step= 173,448  1 eps: CoacA:1L P0  ret=  15.00  len=  829  WR[Coac=0% Maya=0%]
  step= 173,760  1 eps: CoacA:1L P0  ret=  -5.80  len=  850  WR[Coac=0% Maya=0%]
  step= 175,008  1 eps: Mayar:1L P1  ret=  16.00  len= 1062  WR[Coac=0% Maya=0%]
  step= 175,896  1 eps: Mayar:1L P1  ret=   3.00  len=  863  WR[Coac=0% Maya=0%]
  step= 176,904  1 eps: CoacA:1L P0  ret=   7.20  len=  808  WR[Coac=0% Maya=0%]
  step= 176,928  1 eps: CoacA:1L P0  ret=  26.00  len=  864  WR[Coac=0% Maya=0%]
  step= 176,952  1 eps: CoacA:1L P0  ret=  17.00  len=  866  WR[Coac=0% Maya=0%]
  step= 177,240  1 eps: Worke:1L P0  ret=   7.00  len=  475  WR[Coac=0% Maya=0%]
  step= 177,888  1 eps: Mayar:1L P1  ret=  32.00  len=  985  WR[Coac=0% Maya=0%]
  step= 178,224  1 eps: CoacA:1L P0  ret=  29.00  len=  911  WR[Coac=0% Maya=0%]
  step= 178,296  1 eps: Mayar:1L P0  ret=   6.20  len=  794  WR[Coac=0% Maya=0%]
  step= 178,824  1 eps: Mayar:1L P1  ret=  14.00  len= 1144  WR[Coac=0% Maya=0%]
  step= 180,456  1 eps: CoacA:1L P0  ret=  31.00  len=  849  WR[Coac=0% Maya=0%]
  step= 181,440  1 eps: Rando:1L P1  ret=  23.00  len= 3560  WR[Coac=0% Maya=0%]
