
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_buildtime_rewards_s2
  Seed:         2
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 6.0, 5.25, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_buildtime_rewards_s2
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_buildtime_rewards_s2/config.json

  step= 108,672  1 eps: CoacA:1L P0  ret=  42.00  len=  999  WR[warming up...]
  step= 109,704  1 eps: Mayar:1L P1  ret=  91.00  len= 1514  WR[warming up...]
  step= 109,920  1 eps: POWor:1L P1  ret=  26.00  len=  740  WR[warming up...]
  step= 111,648  1 eps: POLig:1L P0  ret=  55.00  len=  885  WR[warming up...]
  step= 112,584  1 eps: Mayar:1L P0  ret=  -4.80  len=  755  WR[warming up...]
  step= 116,256  1 eps: Mayar:1L P1  ret=  -0.80  len=  814  WR[warming up...]
  step= 116,448  1 eps: Mayar:1L P0  ret=   2.20  len=  739  WR[warming up...]
  step= 118,296  1 eps: CoacA:1L P1  ret=   7.20  len=  759  WR[warming up...]
  step= 119,328  1 eps: Mayar:1L P0  ret=  85.00  len= 1378  WR[warming up...]
  step= 119,520  1 eps: POWor:1L P0  ret=  -4.80  len=  400  WR[warming up...]
  step= 120,480  1 eps: CoacA:1L P1  ret=  45.40  len=  907  WR[warming up...]
  step= 120,720  1 eps: POLig:1L P1  ret=  53.00  len= 1051  WR[warming up...]
  step= 120,840  1 eps: POWor:1L P0  ret=  45.40  len=  855  WR[warming up...]
  step= 122,040  1 eps: Mayar:1L P0  ret=  36.00  len=  932  WR[warming up...]
  step= 122,208  1 eps: CoacA:1L P1  ret=  33.00  len=  819  WR[warming up...]
  step= 122,448  1 eps: CoacA:1L P1  ret=  26.20  len=  807  WR[warming up...]
  step= 122,592  1 eps: CoacA:1L P1  ret=  29.20  len=  816  WR[Coac=0%]
  step= 124,392  1 eps: CoacA:1L P1  ret=  40.80  len=  782  WR[Coac=0%]
  step= 124,776  1 eps: Mayar:1L P0  ret=  73.00  len= 1405  WR[Coac=0%]
  step= 125,688  1 eps: CoacA:1L P1  ret=  34.00  len=  816  WR[Coac=0%]
  step= 126,768  1 eps: CoacA:1L P1  ret=  43.45  len=  825  WR[Coac=0%]
  step= 128,784  1 eps: Mayar:1L P1  ret=  -6.80  len=  675  WR[Coac=0%]
  step= 130,152  1 eps: CoacA:1L P1  ret=  31.00  len=  895  WR[Coac=0%]
  step= 130,848  1 eps: Mayar:1L P1  ret=  37.20  len=  955  WR[Coac=0%]
  step= 131,760  1 eps: POWor:1L P1  ret=   3.20  len=  455  WR[Coac=0%]
  step= 132,576  1 eps: Mayar:1L P1  ret=  71.00  len= 1236  WR[Coac=0%]
  step= 134,952  1 eps: Mayar:1L P0  ret=   6.20  len=  779  WR[Coac=0%]
  step= 136,296  1 eps: POLig:1L P1  ret=  71.00  len= 1027  WR[Coac=0%]
  step= 139,296  1 eps: CoacA:1L P0  ret=   4.20  len=  875  WR[Coac=0%]
  step= 140,160  1 eps: POWor:1L P0  ret=  -5.80  len=  350  WR[Coac=0%]
  step= 140,328  1 eps: Rando:1W P1  ret= 134.20  len= 1847  WR[Coac=0%]
  step= 142,848  1 eps: Mayar:1L P1  ret=  49.00  len= 1100  WR[Coac=0% Maya=0%]
  step= 142,968  1 eps: CoacA:1L P0  ret=  20.45  len=  865  WR[Coac=0% Maya=0%]
  step= 143,688  1 eps: Mayar:1L P0  ret=  83.00  len= 1416  WR[Coac=0% Maya=0%]
  step= 143,808  1 eps: CoacA:1L P0  ret=  -3.80  len=  755  WR[Coac=0% Maya=0%]
  step= 144,144  1 eps: CoacA:1L P0  ret=  43.00  len=  986  WR[Coac=0% Maya=0%]
  step= 144,216  1 eps: Mayar:1L P1  ret=  24.20  len= 1037  WR[Coac=0% Maya=0%]
  step= 144,240  1 eps: Mayar:1L P1  ret=  51.40  len=  925  WR[Coac=0% Maya=0%]
  step= 144,696  1 eps: POLig:1L P0  ret=  59.00  len=  999  WR[Coac=0% Maya=0%]
